"""region_name""","""a""","""b""","""c"""
Netherlands,6397.68394936697,0.324858706002676,22.9582000691227
New Zealand,125.372122399234,0.774662000284606,23.0925573804717
Nigeria,35.452864734379,1.0644612987902,22.3182730846296
North Macedonia,130.652713537454,0.662628915937192,23.5369449108411
Norway,2811.41365828762,0.278832069034687,20.3321462418715
Oman,59.9748952242416,0.213144986631336,20.5709282260961
Pakistan,925.549801624536,0.615000688721753,23.1411420750329
Panama,346.746522700267,0.52143590519518,11.1409161592246
Paraguay,19.8422376138139,0.391422469838645,9.61822994020426
Peru,401.19529317949,0.567099088460807,13.664054621283
Philippines,473.67023625718,0.365321638407531,49.4052589124833
Poland,901.056777304206,0.435488099959267,16.7781346910894
Portugal,2599.91923419864,0.491966769125595,19.7253201883983
Qatar,466.718558157389,0.691214152522661,12.8715132704085
